DayOfWeek,Date,DepTime,ArrTime,CRSArrTime,UniqueCarrier,Airline,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Org_Airport,Dest,Dest_Airport,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DepHour,DepMinute,DepDatetime,Month,Hour,Route,DepDateTime,ArrDateTime,CRSArrDateTime
Thursday,2019-06-27,1918,2135,1920,WN,Southwest Airlines Co.,2057,N227WN,137,70,47,135,68,BWI,Baltimore-Washington International Airport,BDL,Bradley International Airport,283,4,86,0,N,0,0,22,67,0,46,19,18,2019-06-27 19:18:00,6,19,BWI-BDL,2019-06-27 19:18:00,2019-06-27 21:35:00,2019-06-27 19:20:00
Friday,2019-02-22,1658,1752,1730,WN,Southwest Airlines Co.,1624,N419WN,54,60,40,22,28,SJC,Norman Y. Mineta San José International Airport,BUR,Bob Hope Airport (Hollywood Burbank Airport),296,6,8,0,N,0,2,0,0,0,20,16,58,2019-02-22 16:58:00,2,16,SJC-BUR,2019-02-22 16:58:00,2019-02-22 17:52:00,2019-02-22 17:30:00
Tuesday,2019-05-14,1225,1528,1450,AA,American Airlines Inc.,378,N289AA,123,125,100,38,40,ORD,Chicago O'Hare International Airport,LGA,LaGuardia Airport (Marine Air Terminal),733,5,18,0,N,0,0,0,2,0,36,12,25,2019-05-14 12:25:00,5,12,ORD-LGA,2019-05-14 12:25:00,2019-05-14 15:28:00,2019-05-14 14:50:00
Saturday,2019-04-13,1224,1307,1235,WN,Southwest Airlines Co.,28,N444WN,43,50,33,32,39,CRP,Corpus Christi International Airport,HOU,William P. Hobby Airport,187,3,7,0,N,0,0,0,0,0,32,12,24,2019-04-13 12:24:00,4,12,CRP-HOU,2019-04-13 12:24:00,2019-04-13 13:07:00,2019-04-13 12:35:00
Monday,2019-03-18,1158,1440,1420,AA,American Airlines Inc.,143,N3ADAA,342,340,322,20,18,IAD,Washington Dulles International Airport,LAX,Los Angeles International Airport,2288,8,12,0,N,0,18,0,2,0,0,11,58,2019-03-18 11:58:00,3,11,IAD-LAX,2019-03-18 11:58:00,2019-03-18 14:40:00,2019-03-18 14:20:00
Sunday,2019-03-31,1816,1953,1844,OO,Skywest Airlines Inc.,6543,N932SW,97,80,52,69,52,DEN,Denver International Airport,ABQ,Albuquerque International Sunport,349,5,40,0,N,0,0,0,0,0,69,18,16,2019-03-31 18:16:00,3,18,DEN-ABQ,2019-03-31 18:16:00,2019-03-31 19:53:00,2019-03-31 18:44:00
Friday,2019-06-28,1921,2158,2010,WN,Southwest Airlines Co.,973,N238WN,157,150,101,108,101,PHL,Philadelphia International Airport,JAX,Jacksonville International Airport,742,4,52,0,N,0,0,0,7,0,101,19,21,2019-06-28 19:21:00,6,19,PHL-JAX,2019-06-28 19:21:00,2019-06-28 21:58:00,2019-06-28 20:10:00
Saturday,2019-01-05,2107,2200,2126,OO,Skywest Airlines Inc.,5483,N291SW,53,41,15,34,22,ONT,Ontario International Airport,LAX,Los Angeles International Airport,47,25,13,0,N,0,34,0,0,0,0,21,7,2019-01-05 21:07:00,1,21,ONT-LAX,2019-01-05 21:07:00,2019-01-05 22:00:00,2019-01-05 21:26:00
Sunday,2019-02-10,1151,1255,1240,MQ,American Eagle Airlines Inc.,4212,N686AE,64,60,43,15,11,ORD,Chicago O'Hare International Airport,CID,The Eastern Iowa Airport,196,3,18,0,N,0,0,8,4,0,3,11,51,2019-02-10 11:51:00,2,11,ORD-CID,2019-02-10 11:51:00,2019-02-10 12:55:00,2019-02-10 12:40:00
Monday,2019-02-04,702,935,904,OO,Skywest Airlines Inc.,4048,N668CA,213,204,195,31,22,MSY,Louis Armstrong New Orleans International Airport,SLC,Salt Lake City International Airport,1428,10,8,0,N,0,31,0,0,0,0,7,2,2019-02-04 07:02:00,2,7,MSY-SLC,2019-02-04 07:02:00,2019-02-04 09:35:00,2019-02-04 09:04:00
Thursday,2019-06-27,1706,1952,1848,US,US Airways Inc.,1892,N738US,106,113,83,64,71,ORD,Chicago O'Hare International Airport,CLT,Charlotte Douglas International Airport,599,9,14,0,N,0,40,0,0,0,24,17,6,2019-06-27 17:06:00,6,17,ORD-CLT,2019-06-27 17:06:00,2019-06-27 19:52:00,2019-06-27 18:48:00
Wednesday,2019-02-27,909,1239,1200,WN,Southwest Airlines Co.,1051,N752SW,150,155,130,39,44,MDW,Chicago Midway International Airport,TPA,Tampa International Airport,997,8,12,0,N,0,3,0,0,0,36,9,9,2019-02-27 09:09:00,2,9,MDW-TPA,2019-02-27 09:09:00,2019-02-27 12:39:00,2019-02-27 12:00:00
Tuesday,2019-01-22,1036,1256,1217,DL,Delta Air Lines Inc.,1502,N957DL,140,107,93,39,6,PIT,Pittsburgh International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,526,9,38,0,N,0,6,0,33,0,0,10,36,2019-01-22 10:36:00,1,10,PIT-ATL,2019-01-22 10:36:00,2019-01-22 12:56:00,2019-01-22 12:17:00
Friday,2019-02-22,1653,1730,1650,WN,Southwest Airlines Co.,3665,N464WN,97,75,64,40,18,CMH,Port Columbus International Airport,BNA,Nashville International Airport,338,5,28,0,N,0,14,0,22,0,4,16,53,2019-02-22 16:53:00,2,16,CMH-BNA,2019-02-22 16:53:00,2019-02-22 17:30:00,2019-02-23 16:50:00
Saturday,2019-06-22,1756,2134,1857,UA,United Air Lines Inc.,1545,N460UA,278,190,177,157,69,FLL,Fort Lauderdale-Hollywood International Airport,ORD,Chicago O'Hare International Airport,1182,10,91,0,N,0,0,0,157,0,0,17,56,2019-06-22 17:56:00,6,17,FLL-ORD,2019-06-22 17:56:00,2019-06-22 21:34:00,2019-06-22 18:57:00
Friday,2019-02-22,1327,1400,1335,MQ,American Eagle Airlines Inc.,3705,N939AE,93,95,76,25,27,DFW,Dallas/Fort Worth International Airport,ROW,Roswell International Air Center,435,3,14,0,N,0,14,0,0,0,11,13,27,2019-02-22 13:27:00,2,13,DFW-ROW,2019-02-22 13:27:00,2019-02-22 14:00:00,2019-02-22 13:35:00
Sunday,2019-04-07,1503,1646,1555,WN,Southwest Airlines Co.,596,N404WN,103,95,73,51,43,LAS,McCarran International Airport,SFO,San Francisco International Airport,414,4,26,0,N,0,0,0,8,0,43,15,3,2019-04-07 15:03:00,4,15,LAS-SFO,2019-04-07 15:03:00,2019-04-07 16:46:00,2019-04-07 15:55:00
Tuesday,2019-06-18,2335,736,707,UA,United Air Lines Inc.,188,N429UA,301,332,281,29,60,SFO,San Francisco International Airport,PHL,Philadelphia International Airport,2521,5,15,0,N,0,0,0,0,0,29,23,35,2019-06-18 23:35:00,6,23,SFO-PHL,2019-06-18 23:35:00,2019-06-19 07:36:00,2019-06-19 07:07:00
Friday,2019-05-31,2029,2125,1910,WN,Southwest Airlines Co.,431,N477WN,116,115,101,135,134,BWI,Baltimore-Washington International Airport,BNA,Nashville International Airport,588,7,8,0,N,0,0,0,33,0,102,20,29,2019-05-31 20:29:00,5,20,BWI-BNA,2019-05-31 20:29:00,2019-05-31 21:25:00,2019-06-01 19:10:00
Wednesday,2019-05-15,1345,1548,1520,WN,Southwest Airlines Co.,1660,N519SW,243,235,228,28,20,BWI,Baltimore-Washington International Airport,DEN,Denver International Airport,1491,6,9,0,N,0,20,0,8,0,0,13,45,2019-05-15 13:45:00,5,13,BWI-DEN,2019-05-15 13:45:00,2019-05-15 15:48:00,2019-05-15 15:20:00
Wednesday,2019-01-02,807,856,801,UA,United Air Lines Inc.,437,N914UA,109,106,74,55,52,BUF,Buffalo Niagara International Airport,ORD,Chicago O'Hare International Airport,473,8,27,0,N,0,52,0,3,0,0,8,7,2019-01-02 08:07:00,1,8,BUF-ORD,2019-01-02 08:07:00,2019-01-02 08:56:00,2019-01-03 08:01:00
Wednesday,2019-01-23,1240,1409,1244,OO,Skywest Airlines Inc.,5481,N301YV,89,69,61,85,65,RDD,Redding Municipal Airport,SFO,San Francisco International Airport,199,4,24,0,N,0,0,0,85,0,0,12,40,2019-01-23 12:40:00,1,12,RDD-SFO,2019-01-23 12:40:00,2019-01-23 14:09:00,2019-01-23 12:44:00
Sunday,2019-02-17,1956,2024,1858,EV,Atlantic Southeast Airlines,4487,N848AS,88,98,74,86,96,ATL,Hartsfield-Jackson Atlanta International Airport,BTR,Baton Rouge Metropolitan Airport,449,4,10,0,N,0,86,0,0,0,0,19,56,2019-02-17 19:56:00,2,19,ATL-BTR,2019-02-17 19:56:00,2019-02-17 20:24:00,2019-02-18 18:58:00
Wednesday,2019-01-02,1213,1323,1040,MQ,American Eagle Airlines Inc.,3302,N238AE,70,78,49,163,171,SHV,Shreveport Regional Airport,DFW,Dallas/Fort Worth International Airport,190,11,10,0,N,0,0,0,0,0,163,12,13,2019-01-02 12:13:00,1,12,SHV-DFW,2019-01-02 12:13:00,2019-01-02 13:23:00,2019-01-03 10:40:00
Wednesday,2019-04-03,2047,2203,2045,WN,Southwest Airlines Co.,3681,N649SW,76,80,63,78,82,PHX,Phoenix Sky Harbor International Airport,LAX,Los Angeles International Airport,370,5,8,0,N,0,2,0,0,0,76,20,47,2019-04-03 20:47:00,4,20,PHX-LAX,2019-04-03 20:47:00,2019-04-03 22:03:00,2019-04-04 20:45:00
Tuesday,2019-04-16,1719,1916,1850,MQ,American Eagle Airlines Inc.,3508,N907AE,177,170,146,26,19,CHS,Charleston International Airport/Charleston AFB,DFW,Dallas/Fort Worth International Airport,987,17,14,0,N,0,0,0,7,0,19,17,19,2019-04-16 17:19:00,4,17,CHS-DFW,2019-04-16 17:19:00,2019-04-16 19:16:00,2019-04-16 18:50:00
Monday,2019-03-11,1713,1818,1635,MQ,American Eagle Airlines Inc.,3466,N842AE,125,140,104,103,118,CHA,Chattanooga Metropolitan Airport (Lovell Field),DFW,Dallas/Fort Worth International Airport,695,11,10,0,N,0,0,0,0,0,103,17,13,2019-03-11 17:13:00,3,17,CHA-DFW,2019-03-11 17:13:00,2019-03-11 18:18:00,2019-03-12 16:35:00
Monday,2019-01-07,920,1028,1005,WN,Southwest Airlines Co.,2113,N659SW,68,70,49,23,25,RNO,Reno/Tahoe International Airport,LAS,McCarran International Airport,345,3,16,0,N,0,0,0,23,0,0,9,20,2019-01-07 09:20:00,1,9,RNO-LAS,2019-01-07 09:20:00,2019-01-07 10:28:00,2019-01-07 10:05:00
Friday,2019-04-05,1412,1720,1645,B6,JetBlue Airways,827,N656JB,188,170,144,35,17,JFK,John F. Kennedy International Airport (New York International Airport),MCO,Orlando International Airport,944,8,36,0,N,0,2,0,18,0,15,14,12,2019-04-05 14:12:00,4,14,JFK-MCO,2019-04-05 14:12:00,2019-04-05 17:20:00,2019-04-05 16:45:00
Friday,2019-03-08,2107,2257,2233,DL,Delta Air Lines Inc.,1483,N614DL,290,298,250,24,32,ATL,Hartsfield-Jackson Atlanta International Airport,SNA,John Wayne Airport (Orange County Airport),1919,8,32,0,N,0,0,11,0,0,13,21,7,2019-03-08 21:07:00,3,21,ATL-SNA,2019-03-08 21:07:00,2019-03-08 22:57:00,2019-03-08 22:33:00
Wednesday,2019-05-22,1111,1231,1200,WN,Southwest Airlines Co.,3672,N740SW,80,75,53,31,26,SAN,San Diego International Airport (Lindbergh Field),LAS,McCarran International Airport,258,6,21,0,N,0,5,0,5,0,21,11,11,2019-05-22 11:11:00,5,11,SAN-LAS,2019-05-22 11:11:00,2019-05-22 12:31:00,2019-05-22 12:00:00
Sunday,2019-06-09,1256,1359,1240,MQ,American Eagle Airlines Inc.,4316,N668HH,63,60,41,79,76,CID,The Eastern Iowa Airport,ORD,Chicago O'Hare International Airport,196,10,12,0,N,0,0,0,3,0,76,12,56,2019-06-09 12:56:00,6,12,CID-ORD,2019-06-09 12:56:00,2019-06-09 13:59:00,2019-06-10 12:40:00
Tuesday,2019-03-12,1838,2201,2145,AA,American Airlines Inc.,678,N554AA,143,140,123,16,13,LAX,Los Angeles International Airport,DEN,Denver International Airport,862,5,15,0,N,0,5,0,3,0,8,18,38,2019-03-12 18:38:00,3,18,LAX-DEN,2019-03-12 18:38:00,2019-03-12 22:01:00,2019-03-12 21:45:00
Wednesday,2019-02-20,1627,1753,1723,EV,Atlantic Southeast Airlines,4750,N683BR,86,83,55,30,27,ATL,Hartsfield-Jackson Atlanta International Airport,ROA,Roanoke Regional Airport (Woodrum Field),357,3,28,0,N,0,27,0,3,0,0,16,27,2019-02-20 16:27:00,2,16,ATL-ROA,2019-02-20 16:27:00,2019-02-20 17:53:00,2019-02-20 17:23:00
Wednesday,2019-05-29,1412,1537,1430,WN,Southwest Airlines Co.,2054,N677AA,85,85,75,67,67,SMF,Sacramento International Airport,SAN,San Diego International Airport (Lindbergh Field),480,2,8,0,N,0,0,0,0,0,67,14,12,2019-05-29 14:12:00,5,14,SMF-SAN,2019-05-29 14:12:00,2019-05-29 15:37:00,2019-05-29 14:30:00
Thursday,2019-01-31,2137,2349,2310,WN,Southwest Airlines Co.,3775,N236WN,72,75,60,39,42,BUR,Bob Hope Airport (Hollywood Burbank Airport),PHX,Phoenix Sky Harbor International Airport,369,5,7,0,N,0,0,0,0,0,39,21,37,2019-01-31 21:37:00,1,21,BUR-PHX,2019-01-31 21:37:00,2019-01-31 23:49:00,2019-01-31 23:10:00
Saturday,2019-04-20,1547,2122,2020,WN,Southwest Airlines Co.,2011,N239WN,215,230,206,62,77,LAX,Los Angeles International Airport,MDW,Chicago Midway International Airport,1750,3,6,0,N,0,0,0,0,0,62,15,47,2019-04-20 15:47:00,4,15,LAX-MDW,2019-04-20 15:47:00,2019-04-20 21:22:00,2019-04-20 20:20:00
Sunday,2019-03-03,2101,2238,2130,WN,Southwest Airlines Co.,1575,N379SW,97,105,83,68,76,PDX,Portland International Airport,SJC,Norman Y. Mineta San José International Airport,569,3,11,0,N,0,0,0,0,0,68,21,1,2019-03-03 21:01:00,3,21,PDX-SJC,2019-03-03 21:01:00,2019-03-03 22:38:00,2019-03-03 21:30:00
Thursday,2019-03-21,1626,1732,1700,WN,Southwest Airlines Co.,3343,N267WN,66,55,37,32,21,LAS,McCarran International Airport,ONT,Ontario International Airport,197,3,26,0,N,0,3,0,11,0,18,16,26,2019-03-21 16:26:00,3,16,LAS-ONT,2019-03-21 16:26:00,2019-03-21 17:32:00,2019-03-21 17:00:00
Monday,2019-06-10,1016,1137,1030,MQ,American Eagle Airlines Inc.,3633,N612AE,81,80,61,67,66,DFW,Dallas/Fort Worth International Airport,JAN,Jackson-Evers International Airport,408,6,14,0,N,0,45,0,1,0,21,10,16,2019-06-10 10:16:00,6,10,DFW-JAN,2019-06-10 10:16:00,2019-06-10 11:37:00,2019-06-10 10:30:00
Monday,2019-01-21,2028,2219,2155,WN,Southwest Airlines Co.,3919,N296WN,171,165,145,24,18,DEN,Denver International Airport,OAK,Oakland International Airport,957,4,22,0,N,0,18,0,6,0,0,20,28,2019-01-21 20:28:00,1,20,DEN-OAK,2019-01-21 20:28:00,2019-01-21 22:19:00,2019-01-21 21:55:00
Monday,2019-01-07,2208,2310,2254,UA,United Air Lines Inc.,363,N337UA,122,129,106,16,23,IAD,Washington Dulles International Airport,ORD,Chicago O'Hare International Airport,589,4,12,0,N,0,16,0,0,0,0,22,8,2019-01-07 22:08:00,1,22,IAD-ORD,2019-01-07 22:08:00,2019-01-07 23:10:00,2019-01-07 22:54:00
Thursday,2019-01-24,1522,2036,1945,WN,Southwest Airlines Co.,622,N905WN,194,210,174,51,67,LAS,McCarran International Airport,MDW,Chicago Midway International Airport,1521,6,14,0,N,0,4,0,0,0,47,15,22,2019-01-24 15:22:00,1,15,LAS-MDW,2019-01-24 15:22:00,2019-01-24 20:36:00,2019-01-24 19:45:00
Saturday,2019-02-23,1128,1323,1247,DL,Delta Air Lines Inc.,1013,N696DA,295,287,275,36,28,ATL,Hartsfield-Jackson Atlanta International Airport,SAN,San Diego International Airport (Lindbergh Field),1891,3,17,0,N,0,0,0,8,0,28,11,28,2019-02-23 11:28:00,2,11,ATL-SAN,2019-02-23 11:28:00,2019-02-23 13:23:00,2019-02-23 12:47:00
Thursday,2019-05-02,1140,1243,1200,MQ,American Eagle Airlines Inc.,4740,N723AE,63,70,45,43,50,DCA,Ronald Reagan Washington National Airport,JFK,John F. Kennedy International Airport (New York International Airport),213,8,10,0,N,0,12,0,0,0,31,11,40,2019-05-02 11:40:00,5,11,DCA-JFK,2019-05-02 11:40:00,2019-05-02 12:43:00,2019-05-02 12:00:00
Sunday,2019-06-23,1335,1338,1255,WN,Southwest Airlines Co.,3937,N372SW,63,70,50,43,50,BOI,Boise Airport (Boise Air Terminal),RNO,Reno/Tahoe International Airport,335,3,10,0,N,0,43,0,0,0,0,13,35,2019-06-23 13:35:00,6,13,BOI-RNO,2019-06-23 13:35:00,2019-06-23 13:38:00,2019-06-24 12:55:00
Saturday,2019-03-09,2014,2224,2145,AA,American Airlines Inc.,2394,N470AA,130,140,98,39,49,ATL,Hartsfield-Jackson Atlanta International Airport,LGA,LaGuardia Airport (Marine Air Terminal),761,11,21,0,N,0,0,0,10,0,29,20,14,2019-03-09 20:14:00,3,20,ATL-LGA,2019-03-09 20:14:00,2019-03-09 22:24:00,2019-03-09 21:45:00
Sunday,2019-06-16,1435,2320,2045,AA,American Airlines Inc.,4,N332AA,345,340,317,155,150,LAX,Los Angeles International Airport,JFK,John F. Kennedy International Airport (New York International Airport),2475,16,12,0,N,0,0,0,155,0,0,14,35,2019-06-16 14:35:00,6,14,LAX-JFK,2019-06-16 14:35:00,2019-06-16 23:20:00,2019-06-16 20:45:00
Monday,2019-02-11,1530,1653,1615,OO,Skywest Airlines Inc.,3811,N864AS,83,82,55,38,37,MSO,Missoula International Airport,SLC,Salt Lake City International Airport,436,5,23,0,N,0,0,0,0,0,38,15,30,2019-02-11 15:30:00,2,15,MSO-SLC,2019-02-11 15:30:00,2019-02-11 16:53:00,2019-02-11 16:15:00
Monday,2019-06-03,1240,1341,1315,WN,Southwest Airlines Co.,372,N382SW,121,120,94,26,25,ABQ,Albuquerque International Sunport,LAX,Los Angeles International Airport,677,11,16,0,N,0,11,0,1,0,14,12,40,2019-06-03 12:40:00,6,12,ABQ-LAX,2019-06-03 12:40:00,2019-06-03 13:41:00,2019-06-03 13:15:00
Thursday,2019-02-07,1011,1200,1120,OO,Skywest Airlines Inc.,3863,N447SW,109,82,57,40,13,SLC,Salt Lake City International Airport,BIL,Billings Logan International Airport,387,3,49,0,N,0,40,0,0,0,0,10,11,2019-02-07 10:11:00,2,10,SLC-BIL,2019-02-07 10:11:00,2019-02-07 12:00:00,2019-02-07 11:20:00
Tuesday,2019-04-23,1121,1328,1235,WN,Southwest Airlines Co.,1396,N338SW,127,140,115,53,66,BWI,Baltimore-Washington International Airport,TPA,Tampa International Airport,842,4,8,0,N,0,53,0,0,0,0,11,21,2019-04-23 11:21:00,4,11,BWI-TPA,2019-04-23 11:21:00,2019-04-23 13:28:00,2019-04-23 12:35:00
Thursday,2019-02-14,2011,30,2358,F9,Frontier Airlines Inc.,612,N917FR,139,143,120,32,36,DEN,Denver International Airport,IND,Indianapolis International Airport,977,10,9,0,N,0,18,0,14,0,0,20,11,2019-02-14 20:11:00,2,20,DEN-IND,2019-02-14 20:11:00,2019-02-15 00:30:00,2019-02-14 23:58:00
Sunday,2019-05-19,1535,1624,1506,MQ,American Eagle Airlines Inc.,3261,N236AE,49,56,34,78,85,DFW,Dallas/Fort Worth International Airport,SPS,Wichita Falls Municipal Airport/Sheppard AFB,113,5,10,0,N,0,78,0,0,0,0,15,35,2019-05-19 15:35:00,5,15,DFW-SPS,2019-05-19 15:35:00,2019-05-19 16:24:00,2019-05-20 15:06:00
Monday,2019-06-03,2101,2139,2105,WN,Southwest Airlines Co.,467,N664WN,98,105,81,34,41,MCO,Orlando International Airport,MSY,Louis Armstrong New Orleans International Airport,550,3,14,0,N,0,0,20,0,0,14,21,1,2019-06-03 21:01:00,6,21,MCO-MSY,2019-06-03 21:01:00,2019-06-03 21:39:00,2019-06-03 21:05:00
Sunday,2019-03-10,1317,1319,1259,MQ,American Eagle Airlines Inc.,4461,N909AE,62,69,43,20,27,IND,Indianapolis International Airport,ORD,Chicago O'Hare International Airport,177,7,12,0,N,0,0,0,0,0,20,13,17,2019-03-10 13:17:00,3,13,IND-ORD,2019-03-10 13:17:00,2019-03-10 13:19:00,2019-03-11 12:59:00
Friday,2019-03-22,1411,1640,1625,WN,Southwest Airlines Co.,3184,N779SW,149,180,139,15,46,MCO,Orlando International Airport,MHT,Manchester-Boston Regional Airport,1142,3,7,0,N,0,2,0,0,0,13,14,11,2019-03-22 14:11:00,3,14,MCO-MHT,2019-03-22 14:11:00,2019-03-22 16:40:00,2019-03-22 16:25:00
Sunday,2019-01-27,943,1420,1340,AA,American Airlines Inc.,710,N3CPAA,217,195,178,40,18,DFW,Dallas/Fort Worth International Airport,LGA,LaGuardia Airport (Marine Air Terminal),1389,3,36,0,N,0,0,0,22,0,18,9,43,2019-01-27 09:43:00,1,9,DFW-LGA,2019-01-27 09:43:00,2019-01-27 14:20:00,2019-01-27 13:40:00
Thursday,2019-06-20,2004,28,5,WN,Southwest Airlines Co.,982,N443WN,144,165,130,23,44,LAS,McCarran International Airport,AUS,Austin-Bergstrom International Airport,1090,5,9,0,N,0,22,0,0,0,1,20,4,2019-06-20 20:04:00,6,20,LAS-AUS,2019-06-20 20:04:00,2019-06-21 00:28:00,2019-06-21 00:05:00
Friday,2019-02-22,1754,2002,1925,WN,Southwest Airlines Co.,3665,N464WN,128,130,112,37,39,BNA,Nashville International Airport,HOU,William P. Hobby Airport,670,5,11,0,N,0,0,0,0,0,37,17,54,2019-02-22 17:54:00,2,17,BNA-HOU,2019-02-22 17:54:00,2019-02-22 20:02:00,2019-02-22 19:25:00
Monday,2019-04-08,1723,2013,1930,AA,American Airlines Inc.,1442,N552AA,110,110,88,43,43,ORD,Chicago O'Hare International Airport,DCA,Ronald Reagan Washington National Airport,612,4,18,0,N,0,0,0,43,0,0,17,23,2019-04-08 17:23:00,4,17,ORD-DCA,2019-04-08 17:23:00,2019-04-08 20:13:00,2019-04-08 19:30:00
Wednesday,2019-01-16,2015,2320,2130,AA,American Airlines Inc.,658,N491AA,125,135,102,110,120,DFW,Dallas/Fort Worth International Airport,DAY,James M. Cox Dayton International Airport,861,7,16,0,N,0,0,16,0,0,94,20,15,2019-01-16 20:15:00,1,20,DFW-DAY,2019-01-16 20:15:00,2019-01-16 23:20:00,2019-01-16 21:30:00
Tuesday,2019-01-22,1217,1743,1715,DL,Delta Air Lines Inc.,744,N670DN,206,215,176,28,37,SLC,Salt Lake City International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,1589,9,21,0,N,0,15,0,0,0,13,12,17,2019-01-22 12:17:00,1,12,SLC-ATL,2019-01-22 12:17:00,2019-01-22 17:43:00,2019-01-22 17:15:00
Sunday,2019-01-27,2209,43,2241,AS,Alaska Airlines Inc.,682,N794AS,154,141,122,122,109,SEA,Seattle-Tacoma International Airport,LAS,McCarran International Airport,866,11,21,0,N,0,5,0,13,0,104,22,9,2019-01-27 22:09:00,1,22,SEA-LAS,2019-01-27 22:09:00,2019-01-28 00:43:00,2019-01-27 22:41:00
Saturday,2019-06-01,1650,1857,1840,MQ,American Eagle Airlines Inc.,4807,N825AE,127,125,95,17,15,CVG,Cincinnati/Northern Kentucky International Airport,LGA,LaGuardia Airport (Marine Air Terminal),585,13,19,0,N,0,0,0,2,0,15,16,50,2019-06-01 16:50:00,6,16,CVG-LGA,2019-06-01 16:50:00,2019-06-01 18:57:00,2019-06-01 18:40:00
Monday,2019-06-24,812,916,810,MQ,American Eagle Airlines Inc.,3534,N516AE,64,70,48,66,72,LIT,Bill and Hillary Clinton National Airport (Adams Field),DFW,Dallas/Fort Worth International Airport,304,9,7,0,N,0,66,0,0,0,0,8,12,2019-06-24 08:12:00,6,8,LIT-DFW,2019-06-24 08:12:00,2019-06-24 09:16:00,2019-06-25 08:10:00
Tuesday,2019-02-26,1144,1251,1224,US,US Airways Inc.,16,N827AW,67,69,40,27,29,SNA,John Wayne Airport (Orange County Airport),LAS,McCarran International Airport,226,5,22,0,N,0,7,0,0,0,20,11,44,2019-02-26 11:44:00,2,11,SNA-LAS,2019-02-26 11:44:00,2019-02-26 12:51:00,2019-02-26 12:24:00
Friday,2019-04-05,854,1111,1045,MQ,American Eagle Airlines Inc.,4195,N674RJ,77,70,45,26,19,ORD,Chicago O'Hare International Airport,DAY,James M. Cox Dayton International Airport,240,3,29,0,N,0,0,0,7,0,19,8,54,2019-04-05 08:54:00,4,8,ORD-DAY,2019-04-05 08:54:00,2019-04-05 11:11:00,2019-04-05 10:45:00
Monday,2019-05-06,1258,1631,1610,AA,American Airlines Inc.,1198,N469AA,153,165,141,21,33,AUS,Austin-Bergstrom International Airport,RDU,Raleigh-Durham International Airport,1162,4,8,0,N,0,21,0,0,0,0,12,58,2019-05-06 12:58:00,5,12,AUS-RDU,2019-05-06 12:58:00,2019-05-06 16:31:00,2019-05-06 16:10:00
Monday,2019-02-04,1551,1810,1724,EV,Atlantic Southeast Airlines,4850,N881AS,139,143,112,46,50,ATL,Hartsfield-Jackson Atlanta International Airport,PVD,Theodore Francis Green State Airport,903,3,24,0,N,0,0,0,0,0,46,15,51,2019-02-04 15:51:00,2,15,ATL-PVD,2019-02-04 15:51:00,2019-02-04 18:10:00,2019-02-04 17:24:00
Friday,2019-05-24,1022,1133,1115,WN,Southwest Airlines Co.,1110,N640SW,71,70,51,18,17,SJC,Norman Y. Mineta San José International Airport,ONT,Ontario International Airport,333,3,17,0,N,0,10,0,1,0,7,10,22,2019-05-24 10:22:00,5,10,SJC-ONT,2019-05-24 10:22:00,2019-05-24 11:33:00,2019-05-24 11:15:00
Friday,2019-04-19,1149,1302,1240,OO,Skywest Airlines Inc.,2702,N417SW,133,130,98,22,19,RDU,Raleigh-Durham International Airport,MKE,General Mitchell International Airport,689,4,31,0,N,0,19,0,3,0,0,11,49,2019-04-19 11:49:00,4,11,RDU-MKE,2019-04-19 11:49:00,2019-04-19 13:02:00,2019-04-19 12:40:00
Wednesday,2019-06-12,1824,1941,1925,MQ,American Eagle Airlines Inc.,3426,N942AE,77,70,43,16,9,TUL,Tulsa International Airport,DFW,Dallas/Fort Worth International Airport,237,21,13,0,N,0,0,0,16,0,0,18,24,2019-06-12 18:24:00,6,18,TUL-DFW,2019-06-12 18:24:00,2019-06-12 19:41:00,2019-06-12 19:25:00
Friday,2019-02-22,1310,1415,1330,WN,Southwest Airlines Co.,1064,N462WN,65,65,46,45,45,BWI,Baltimore-Washington International Airport,PVD,Theodore Francis Green State Airport,328,6,13,0,N,0,41,0,0,0,4,13,10,2019-02-22 13:10:00,2,13,BWI-PVD,2019-02-22 13:10:00,2019-02-22 14:15:00,2019-02-22 13:30:00
Saturday,2019-06-15,1410,1622,1603,OO,Skywest Airlines Inc.,3597,N217SW,72,63,44,19,10,EKO,Elko Regional Airport,SLC,Salt Lake City International Airport,200,6,22,0,N,0,10,0,9,0,0,14,10,2019-06-15 14:10:00,6,14,EKO-SLC,2019-06-15 14:10:00,2019-06-15 16:22:00,2019-06-15 16:03:00
Wednesday,2019-03-27,1727,1933,1800,MQ,American Eagle Airlines Inc.,4092,N656AE,126,65,48,93,32,ORD,Chicago O'Hare International Airport,EVV,Evansville Regional Airport,273,5,73,0,N,0,0,0,61,0,32,17,27,2019-03-27 17:27:00,3,17,ORD-EVV,2019-03-27 17:27:00,2019-03-27 19:33:00,2019-03-27 18:00:00
